Wavelength (nm),Ag_n,Ag_k
300,0.13,2.92
301,0.13,2.92
302,0.13,2.92
303,0.13,2.92
304,0.13,2.92
305,0.13,2.92
306,0.13,2.92
307,0.13,2.92
308,0.13,2.92
309,0.13,2.92
310,0.13,2.92
311,0.13,2.92
312,0.13,2.92
313,0.13,2.92
314,0.13,2.92
315,0.13,2.92
316,0.13,2.92
317,0.13,2.92
318,0.13,2.92
319,0.13,2.92
320,0.13,2.92
321,0.13,2.92
322,0.13,2.92
323,0.13,2.92
324,0.13,2.92
325,0.13,2.92
326,0.13,2.92
327,0.13,2.92
328,0.13,2.92
329,0.13,2.92
330,0.13,2.92
331,0.13,2.92
332,0.13,2.92
333,0.13,2.92
334,0.13,2.92
335,0.13,2.92
336,0.13,2.92
337,0.13,2.92
338,0.13,2.92
339,0.13,2.92
340,0.13,2.92
341,0.13,2.92
342,0.13,2.92
343,0.13,2.92
344,0.13,2.92
345,0.13,2.92
346,0.13,2.92
347,0.13,2.92
348,0.13,2.92
349,0.13,2.92
350,0.13,2.92
351,0.13,2.92
352,0.13,2.92
353,0.13,2.92
354,0.13,2.92
355,0.13,2.92
356,0.13,2.92
357,0.13,2.92
358,0.13,2.92
359,0.13,2.92
360,0.13,2.92
361,0.13,2.92
362,0.13,2.92
363,0.13,2.92
364,0.13,2.92
365,0.13,2.92
366,0.13,2.92
367,0.13,2.92
368,0.13,2.92
369,0.13,2.92
370,0.13,2.92
371,0.13,2.92
372,0.13,2.92
373,0.13,2.92
374,0.13,2.92
375,0.13,2.92
376,0.13,2.92
377,0.13,2.92
378,0.13,2.92
379,0.13,2.92
380,0.13,2.92
381,0.13,2.92
382,0.13,2.92
383,0.13,2.92
384,0.13,2.92
385,0.13,2.92
386,0.13,2.92
387,0.13,2.92
388,0.13,2.92
389,0.13,2.92
390,0.13,2.92
391,0.13,2.92
392,0.13,2.92
393,0.13,2.92
394,0.13,2.92
395,0.13,2.92
396,0.13,2.92
397,0.13,2.92
398,0.13,2.92
399,0.13,2.92
400,0.13,2.92
401,0.13,2.92
402,0.13,2.92
403,0.13,2.92
404,0.13,2.92
405,0.13,2.92
406,0.13,2.92
407,0.13,2.92
408,0.13,2.92
409,0.13,2.92
410,0.13,2.92
411,0.13,2.92
412,0.13,2.92
413,0.13,2.92
414,0.13,2.92
415,0.13,2.92
416,0.13,2.92
417,0.13,2.92
418,0.13,2.92
419,0.13,2.92
420,0.13,2.92
421,0.13,2.92
422,0.13,2.92
423,0.13,2.92
424,0.13,2.92
425,0.13,2.92
426,0.13,2.92
427,0.13,2.92
428,0.13,2.92
429,0.13,2.92
430,0.13,2.92
431,0.13,2.92
432,0.13,2.92
433,0.13,2.92
434,0.13,2.92
435,0.13,2.92
